OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1768382,SCRIVENS RD,SCRIVENS,RD,Scrivens Rd,Scrivens,WEST QUODDY,WEST QUODDY,15228,15228,936.4574447
1768383,FERRY RD,FERRY,RD,Ferry Rd,Ferry,MOSER RIVER,MOSER RIVER,15229,15229,372.9017017
1768384,MOSS CL,MOSS,CL,Moss Cl,Moss,LAWRENCETOWN,LAWRENCETOWN,16332,16332,1196.001154
1768385,AQUAVISTA LANE,AQUAVISTA,LANE,Aquavista Lane,Aquavista,DARTMOUTH,DARTMOUTH,16988,16988,302.0131956
1768386,HIGHWAY 224,HIGHWAY 224, ,Highway 224,Highway 224,PLEASANT VALLEY,PLEASANT VALLEY,10420,10420,20265.13563
1768387,MARLBOROUGH LANE,MARLBOROUGH,LANE,Marlborough Lane,Marlborough,BEAVER BANK,BEAVER BANK,10638,10638,93.73143419
1768388,MASONS POINT RD,MASONS POINT,RD,Masons Point Rd,Masons Point,HEAD OF ST MARGARETS BAY,HEAD OF ST MARGARETS BAY,10647,10647,2669.095716
1768389,MCMULLIN RD,MCMULLIN,RD,Mcmullin Rd,Mcmullin,WYSES CORNER,WYSES CORNER,10657,10657,1053.176839
1768390,MCPHERSON RD,MCPHERSON,RD,Mcpherson Rd,Mcpherson,FALL RIVER,FALL RIVER,10659,10659,320.3755651
1768391,SOLES LANE,SOLES,LANE,Soles Lane,Soles,CONROD SETTLEMENT,CONROD SETTLEMENT,10670,10670,162.3892119
1768392,MILL LAKE RD,MILL LAKE,RD,Mill Lake Rd,Mill Lake,MILL LAKE,MILL LAKE,10672,10672,1367.139997
1768393,JOHNSON LOOP RD,JOHNSON LOOP,RD,Johnson Loop Rd,Johnson Loop,INDIAN HARBOUR,INDIAN HARBOUR,15058,15058,364.8081145
1768394,CYPRESS CRT,CYPRESS,CRT,Cypress Crt,Cypress,HAMMONDS PLAINS,HAMMONDS PLAINS,17068,17068,352.9870406
1768395,LINDEN CRT,LINDEN,CRT,Linden Crt,Linden,COLE HARBOUR,COLE HARBOUR,8028,8028,293.8182712
1768396,WHITETAIL RUN,WHITETAIL,RUN,Whitetail Run,Whitetail,HUBLEY,HUBLEY,16171,16171,447.5917314
1768397,SHALIMAR CRES,SHALIMAR,CRES,Shalimar Cres,Shalimar,COLE HARBOUR,COLE HARBOUR,8679,8679,502.9192701
1768398,KELTIC DR,KELTIC,DR,Keltic Dr,Keltic,LAWRENCETOWN,LAWRENCETOWN,7910,7910,2490.82817
1768399,FLAT LAKE DR,FLAT LAKE,DR,Flat Lake Dr,Flat Lake,STILLWATER LAKE,STILLWATER LAKE,7556,7556,1032.217054
1768400,WAVES EDGE LANE,WAVES EDGE,LANE,Waves Edge Lane,Waves Edge,EAST CHEZZETCOOK,EAST CHEZZETCOOK,16324,16324,368.4720627
1768401,EAST CHEZZETCOOK WHARF RD,EAST CHEZZETCOOK WHARF,RD,East Chezzetcook Wharf Rd,East Chezzetcook Wharf,EAST CHEZZETCOOK,EAST CHEZZETCOOK,10356,10356,628.5634622
1768402,OLD MILITARY RD,OLD MILITARY,RD,Old Military Rd,Old Military,MCNABS ISLAND,MCNABS ISLAND,16219,16219,756.1755578
1768403,BIRDSEYE PASS,BIRDSEYE,PASS,Birdseye Pass,Birdseye,TERENCE BAY,TERENCE BAY,66794,66794,841.1796116
1768404,SIRIUS CRES,SIRIUS,CRES,Sirius Cres,Sirius,COLE HARBOUR,COLE HARBOUR,8724,8724,1082.965576
1768405,GROSVENOR LANE,GROSVENOR,LANE,Grosvenor Lane,Grosvenor,MUSQUODOBOIT HARBOUR,MUSQUODOBOIT HARBOUR,10010,10010,379.620083
1768406,UNDER REVIEW  106 UN,UNDER REVIEW  106,UN,Under Review  106 Un,Under Review  106,MOOSELAND,MOOSELAND,99999,99999,941.8423477
1768407,BACKWOOD LANE,BACKWOOD,LANE,Backwood Lane,Backwood,UPPER TANTALLON,UPPER TANTALLON,16564,16564,602.0240855
1768408,MOSSHAVEN LANE,MOSSHAVEN,LANE,Mosshaven Lane,Mosshaven,WHITES LAKE,WHITES LAKE,17047,17047,572.8362714
1768409,HIGHWAY 107,HIGHWAY 107,,Highway 107,Highway 107,PORTERS LAKE,PORTERS LAKE,4330,4330,7325.914046
1768410,WADES LANE,WADES,LANE,Wades Lane,Wades,SEABRIGHT,SEABRIGHT,15757,15757,1175.281647
1768411,OLD GUYSBOROUGH RD,OLD GUYSBOROUGH,RD,Old Guysborough Rd,Old Guysborough,GOFFS,GOFFS,10742,10742,13455.60678
