X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.58427007,44.64327954,11047,AP205,SUMMER ST,SPRING GARDEN RD,SACKVILLE ST,2,3 Hour,,In Service,,North,Grass,No,No,2019-10-18T13:58:21.000Z,2020-01-27T13:44:41.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.5732017,44.64705679,11048,AP151,GRANVILLE ST,SACKVILLE ST,PRINCE ST,1,No Time Restriction,,In Service,,North,Concrete,No,No,2019-10-18T13:58:21.000Z,2019-11-13T13:52:10.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58959804,44.63613749,11049,AP120,LEMARCHANT ST,SOUTH ST,UNIVERSITY AVE,2,3 Hour,,In Service,,Northwest,Grass,No,No,2019-10-18T13:58:21.000Z,2020-01-27T13:23:07.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58011072,44.62713314,11050,AP106,FRANCKLYN ST,PINE HILL DR,MCCULLOCH CRT,2,No Time Restriction,,In Service,,East,Grass,No,No,2019-10-18T12:59:46.000Z,2020-01-27T13:20:29.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.58516559,44.6531836,11051,AP107,GOTTINGEN ST,CUNARD ST,CORNWALLIS ST,2,3 Hour,,In Service,,Southeast,Concrete,No,No,2019-10-18T13:11:34.000Z,2020-01-27T13:21:09.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.61066554,44.66433051,11052,AP113,WELLS ST,ROBIE ST,PRESCOTT ST,1,No Time Restriction,,In Service,,Southwest,Concrete,No,Yes,2019-10-18T17:08:07.000Z,2019-11-11T23:57:38.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57272871,44.64728575,11053,AP142,HOLLIS ST,PRINCE ST,SACKVILLE ST,1,3 Hour,,In Service,,South,Concrete,No,No,2019-10-18T13:58:21.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57691183,44.64756825,11054,AP89,CARMICHAEL ST,BRUNSWICK ST,MARKET ST,4,,6am-6pm Mon-Fri,In Service,,East,Concrete,No,Yes,2019-10-17T15:48:06.000Z,2020-01-27T14:21:12.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57594747,44.64905662,11055,AP101,DUKE ST,ARGYLE ST,ALBEMARLE ST,1,30 minutes,,In Service,,West,Concrete,No,No,2019-10-18T12:30:47.000Z,2019-11-14T12:53:40.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.5840793,44.65235801,11056,AP98,CORNWALLIS ST,CREIGHTON ST,MAITLAND ST,3,3 Hour,Sunday Only,In Service,,Southwest,Concrete,Yes,Yes,2019-10-17T18:12:54.000Z,2019-11-14T13:33:23.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
